Complexity,Loss,Equation
151,2.8166547,"((((x6 * 1.3342013) + ((((x1 + ((x2 + -1.4621619) * ((x1 + (x0 * -0.0005012194)) + (x0 * 0.9070004)))) * -1.519907) + ((((((((x3 + (x6 * 2.7194371)) + x3) + (x0 + x1)) + (((x7 * -1.5241351) + 2.6120563) + (x1 + 0.95140105))) * -0.30528113) + x1) * x6) + x1)) + (x1 + 3.8997946))) + ((((x8 + x4) * (x8 * -1.3028283)) + ((x6 + ((x1 * 2.2431767) + (x0 * (((((((((-0.47271067 + 0.17706455) + (((x1 * 0.297259) + x2) * x8)) + (x3 + ((x1 + ((x1 + ((x4 + ((((x1 + 0.17714614) * -1.0244199) + (((x4 * ((x5 * -0.123854995) + x0)) * 0.40404105) + (x1 + 1.5229477))) * x8)) * -4.078713)) * (x0 * 1.4606788))) + -0.7482281))) + ((x8 * x8) * 3.4982114)) * -0.32538283) + 1.6986539) * (x4 * -0.5940274)) + x1) + 1.689303)))) * -1.2876434)) + x6)) + ((x4 * 0.02026589) + 0.6441049)) + -0.41250736"
153,2.7685335,"((((x1 + ((x1 + (((x1 * -0.0032277964) + x0) * 0.82377124)) * (x2 + -1.7633508))) * -1.468792) + (((x1 + ((((((x1 * 2.1401582) + x6) + (((((((((x8 + (x0 * ((x6 + x1) + (((x3 + (((x4 + x8) * (((x1 + (x1 * -0.17941566)) * -0.9139631) + (x1 + 1.9839904))) * -1.6860726)) * 2.401615) + -2.3848622)))) + (x1 * x1)) * 0.59974885) + ((x8 * 3.569087) * x8)) * -0.37069) + 1.7254479) * (x4 * -0.66381127)) + (x1 + 1.4474467)) * x0)) * -1.4282559) + (x6 * 1.5978758)) + (((x8 + x4) * (x8 * -1.4603435)) + ((((x4 * -0.48858288) * (((x1 + (x3 + ((x1 * (x8 + (x0 * x6))) + ((x4 + (x8 * x1)) * -1.9092196)))) * -0.89233994) + 0.92353934)) + x1) + 4.158797)))) + ((((x7 * x6) + (((x0 + x1) + (x6 * 2.8369231)) * -0.4386895)) + x6) + 0.87527233)) * 0.864161)) * 1.0611144) + -0.47810924"
155,2.7444823,"(((((x1 + (((x8 * (x8 + x4)) * -1.4129771) + (((((x0 * ((x4 * ((((((((x0 * ((x6 + (x3 + (((x4 + x8) * (((((x4 * ((((x5 * x8) + -0.2632922) + ((x0 * -1.094983) + -0.87913716)) * -0.1506341)) + 2.4263942) + x1) + ((x1 + (x0 * -0.23877382)) * -0.94690126)) + -0.3856142)) * -3.893054))) + x1)) + -0.8384636) + (x1 * x1)) * 0.64132386) + (x8 * (x8 * 3.5657694))) * -0.38609436) + 1.7207859) * -0.67992145)) + (x1 + 1.4700179))) + ((x1 * 2.1269095) + x6)) * -1.3429712) + (x6 * 1.586228)) + (((((x0 + x1) + (x6 * 2.839726)) * -0.4765941) + (x7 * x6)) + (x6 + 0.9474393))))) + ((((x4 * ((((x1 + x3) + ((x4 + -0.6881308) * -0.8936213)) * -1.0054322) + 0.9288498)) * -0.59088975) + x1) + 4.230882)) * 0.9139156) + ((x1 + ((x2 + -1.7693493) * (x1 + ((x0 * 0.8669732) + 0.011945058)))) * -1.4171313)) * 1.037352) + -0.85368717"
161,2.7314014,"(((x1 + ((((x1 + x0) + -0.023765044) * (x2 + -1.6958692)) * 0.9261391)) * -1.4459171) + (((x1 + (((x7 * x6) + ((((((x0 + (x6 * 2.821614)) + 0.71314806) * -0.41500592) + (x6 + 0.9110362)) + (x1 + (((x8 + x4) * x8) * -1.5899395))) + (((x6 * 1.6259506) + ((((x1 * 2.070861) + x6) + (x0 * (((((((x8 + ((((x0 * (x6 + ((((x3 + x1) + ((x4 + x8) * (((((((x1 + x6) * -0.3624926) + (x4 * ((x3 * (x5 * -0.2768454)) + (x0 * 0.34282002)))) + 2.7129166) + x1) + -0.09908694) * -1.5201422))) * 2.3666885) + -0.78604))) + (x1 * x1)) * 0.6909523) + (x8 * (x8 * 3.5892231)))) * -0.3319922) + 1.6915878) * x4) * -0.594411) + x1) + 1.5889049))) * -1.4984854)) + (((((x1 + x3) + (((((x1 * (x8 + 1.5427263)) + 4.8513036) * x4) + -0.43866843) * -0.26908892)) * -1.1540362) + 0.7425567) * (x4 * -0.6087714))))) + 4.1946487)) * 0.8425758) + 0.141077)) * 1.0221113"
171,2.665597,"((((x1 + ((x1 + (((x6 * -0.008810669) + x0) * 0.83935195)) * (x2 + -1.7552973))) * -1.4343222) + ((((x1 + ((((x8 + x4) * x8) * -1.415442) + (((x6 * 1.59482) + ((((x1 * 2.111433) + x6) + (x0 * ((((((((x8 + ((x0 * ((x6 + x1) + (((x3 + (((x4 + x8) * ((((x1 + (x0 * -0.11045143)) * -0.9599869) + ((((x4 * (((x5 * x3) + -0.26826888) + (x0 * -1.0707737))) * -0.31640014) + 2.4691145) + x1)) + -0.3428766)) * -1.6433191)) * 2.3936436) + x1))) + (x1 * x1))) * 0.7267508) + (x8 * (x8 * 3.5425282))) * -0.3470186) + 1.7375033) * (x4 * -0.6882405)) + x1) + 1.4880166))) * -1.3659704)) + ((x4 * (((((x1 + x3) + ((((x1 * x8) + (x0 * x6)) + 4.840278) * (((x4 + -0.653899) * -0.32991356) + -0.06108071))) * -0.87054414) + 1.0693127) * -0.69352615)) + (x1 + 4.1623983))))) + ((x7 * x6) + ((x0 + (x1 + (x6 * 2.8387313))) * -0.45592317))) + (x6 + 0.8787672)) * 0.8937867)) * 1.0449784) + -0.47726527"
175,2.5784748,"(((((x6 * 1.5176227) + (((x1 + ((x2 + -1.4474353) * (x1 + ((x0 * 0.0027359007) + (x0 * 0.9102554))))) * -1.5769546) + (((((((x3 + ((x6 * 2.751618) + x3)) + ((x0 + x1) + ((x7 * -1.3076657) + 2.551708))) + (x1 + 0.8911237)) * -0.341342) + x1) * x6) + x1))) + (x1 + 3.8837404)) + ((((x8 + x4) * x8) * -1.3480226) + (((x0 * ((((((((x8 + ((((x1 * 0.33459514) + x2) * x8) + (x3 + (((x1 + (x1 + ((x4 + (x8 * ((((x1 + -0.03924352) * -1.194297) + (x4 * ((x5 * -0.30345702) + (x0 * 0.30778542)))) + (x1 + 1.7029709)))) * -3.9356325))) * (x0 * 1.004959)) + -0.74146545)))) + (x8 * (3.5050485 * x8))) * -0.34898993) + 1.683387) * x4) * -0.5765512) + x1) + 1.6968578)) + (x6 + (x1 * 2.251079))) * -1.313894))) + (x6 + 0.6280165)) + ((x4 * (((((((((x3 * x6) + 4.8156843) * -0.55211425) + (x7 + x4)) * -0.8241456) + (x1 + (x3 + (x1 * 0.29460052)))) + -0.10455685) * -0.49955946) + 1.3757309)) * -0.86732376)"
199,2.5328016,"((((x6 * 1.5176227) + (((x1 + ((x2 + -1.4474353) * (x1 + ((x0 * 0.0027359007) + (x0 * 0.9102554))))) * -1.5769546) + ((((((((x3 + ((x6 * 2.751618) + x3)) + (x0 + x1)) + ((x7 * -1.3076657) + 2.551708)) + (x1 + 0.8911237)) * -0.341342) + x1) * x6) + x1))) + (x1 + 3.8837404)) + ((((x8 + x4) * x8) * -1.3480226) + (((x6 + (x1 * 2.251079)) + (x0 * (((((((x8 + ((((x1 * 0.33459514) + x2) * x8) + (x3 + ((x1 + ((x1 + ((x4 + ((((x1 + -0.03924352) * -1.194297) + ((x4 * ((x5 * -0.30345702) + (x0 * 0.30778542))) + (x1 + 1.7029709))) * x8)) * -3.9356325)) * (x0 * 1.004959))) + -0.74146545)))) + ((x8 * 3.5050485) * x8)) * -0.34898993) + 1.683387) * (x4 * -0.5765512)) + x1) + 1.6968578))) * -1.313894))) + ((0.6280165 + x6) + (x4 * (((((((((((((x3 * x6) + ((x0 * (x2 + (x1 + x3))) + (x1 * (x1 + x4)))) + ((x6 * (x0 * (x1 + (0.15224627 + x1)))) + 4.8156843)) * -0.55211425) + x7) + x4) * -0.8241456) + x1) + (x3 + (x1 * 0.10419751))) + -0.10455685) * -0.49955946) + 1.3757309) * -0.86732376)))"
211,2.529924,"x1 + (3.8877468 + (((((((x8 + x4) * x8) * -1.3528205) + (((x0 * (((((((x8 + ((x1 * 0.3423502) + (x2 * x8))) + ((((x3 + (x0 * (((x4 + (x8 * (((x1 + (x0 * -0.21897654)) * -1.1735265) + (((x4 * ((x5 * -0.26996464) + (x0 * 0.31846115))) + x1) + 1.7231406)))) * -3.9187524) + (x1 + x1)))) * 0.9015953) + -0.73603934) + ((x8 * 3.5057461) * x8))) * -0.39472276) + 1.671417) * (x4 * -0.57519716)) + x1) + 1.6610041)) + (x6 + (x1 * 2.2656898))) * -1.3286188)) + (x6 * 1.520038)) + ((((x1 + ((x2 + -1.4682727) * (x1 + ((0.6775927 * 0.007117854) + (x0 * 0.9148457))))) * -1.5570585) + (((((((x3 + (x6 * 2.7524462)) + x3) + (((x0 + (x1 + ((x7 * -1.2701743) + 2.550795))) + x1) + 0.8903419)) * -0.3374198) + x1) * x6) + x1)) + x6)) + (0.631943 + (x4 * (((((((x1 + x3) + (x1 * 0.31285664)) + ((((((x3 * x6) + ((((x0 * ((x2 + x1) + x3)) + (x1 * (x1 + x4))) + (x6 * (x0 * (x1 + ((((x1 * x1) + 0.8507938) * ((x6 + 0.1840284) * -0.21741815)) + x1))))) + 4.8235974)) * -0.5622603) + x7) + x4) * -0.79338795)) + -0.08660503) * -0.52010816) + 1.3425994) * -0.8290779)))))"
221,2.523565,"((((((x6 * 1.4470936) + ((x1 + ((x2 + -1.4697287) * ((x1 + (x0 * -0.0062356023)) + (x0 * 0.90128386)))) * -1.4692831)) + ((((((((x3 + (x6 * 2.7046916)) + (x3 + (x0 + x1))) + (x7 * -1.4082354)) + (2.5752957 + (x1 + 0.9146969))) * -0.33279756) + x1) * x6) + x1)) + x1) + 3.9273303) + ((((x8 + x4) * x8) * -1.3563694) + (((x6 + (x1 * 2.3289616)) + (x0 * ((((((x8 + (0.90128386 + ((x3 + x1) + (((x1 + ((x4 + (((((x1 + 0.122581154) * -1.2848495) + (x4 * ((x5 * -0.2576531) + (x0 * 0.35296145)))) + (x1 + 1.5696815)) * x8)) * -4.000736)) * (1.2568727 * x0)) + -0.75285417)))) + (x8 * (3.498993 * x8))) * -0.31413153) + 1.7139547) * (x4 * -0.6339987)) + (x1 + 1.5893837)))) * -1.2965448))) + (x6 + (0.6716201 + (x4 * ((((((-0.76654774 * (((4.787907 + ((x3 * x6) + ((x0 * ((x1 + x3) + x2)) + ((x1 * (x1 + x4)) + ((((x3 * x6) + (((((x0 * ((x2 + x1) * x3)) + (x1 * (x1 + x4))) + ((x6 * (x0 * (x1 + ((x6 + x1) + x1)))) + 4.8019266)) * -0.6239323) + x7)) + x4) * -0.8896245))))) * -0.4095325) + x4)) + (x1 + (x3 + (x1 * 0.06301386)))) + -0.15920347) * -0.5273226) + 1.4437876) * -0.87513125))))"
225,2.5134435,"(((x6 * 1.3940455) + (((x1 + ((x2 + -1.4969829) * ((x1 + ((x2 + -0.23680027) * -0.0133428555)) + (x0 * 0.89416176)))) * -1.4818113) + ((((((((x3 + ((x6 * 2.744085) + x3)) + (x0 + x1)) + ((x7 * -1.4265623) + 2.5928411)) + (x1 + 0.9321626)) * -0.3093289) + x1) * x6) + x1))) + ((x1 + 3.879491) + ((((x8 + x4) * x8) * -1.362866) + (((x6 + (x1 * 2.3237982)) + (x0 * (((((((x8 + ((((x1 * 0.34932005) + x2) * x8) + (x3 + (x1 + (((x1 + ((x4 + ((((x1 + 0.10863088) * -1.2141585) + ((x4 * ((x5 * -0.23104289) + (x0 * 0.37426293))) + (x1 + 1.5791361))) * x8)) * -4.008309)) * (x0 * 1.2572863)) + -0.7469958))))) + ((x8 * 3.4970727) * x8)) * -0.3267902) + 1.6984335) * (x4 * -0.6077493)) + x1) + 1.5720795))) * -1.314216)))) + ((x6 + 0.62373704) + (x4 * (((((((((((x3 * x6) + (((x0 * (x2 + (x1 + x3))) + (x1 * (x1 + x4))) + ((x6 * (x0 * ((x1 + (((((x4 + x1) + (x1 + x8)) * (x0 * (x0 * 1.1422186))) * (((x1 * x1) + 0.87710804) * -0.22517657)) * x6)) + (x1 + 0.15075208)))) + 4.8150873))) * -0.4702346) + x7) + x4) * -0.9613093) + x1) + ((x3 + (x1 * 0.0652075)) + -0.105758056)) * -0.52176285) + 1.3780727) * -0.8830292)))"
