board_state,player_turn,best_move_index
  X OO X ,X,'3'
  X OO XX,O,'3'
  X OOOXX,X,'3'
  X OOX  ,X,'3'
  X OOX X,O,'37'
  X OOXOX,X,'013'
  X OOXX ,O,'38'
  X OOXXO,X,'013'
  X OX   ,O,'8'
  X OX  O,X,'0'
  X OX O ,X,'18'
  X OX XO,O,'0'
  X OXO  ,X,'018'
  X OXOX ,O,'8'
  X OXOXO,X,'0'
  X OXX O,O,'017'
  X OXXO ,O,'18'
  X OXXOO,X,'013'
  X X   O,O,'6'
  X X  O ,O,'013568'
  X X  OO,X,'6'
  X X O  ,O,'08'
  X X O O,X,'7'
  X X OO ,X,'8'
  X X OOX,O,'0135'
  X X OXO,O,'1'
  X XO   ,O,'013678'
  X XO  O,X,'0167'
  X XO O ,X,'0168'
  X XO OX,O,'0136'
  X XO XO,O,'0136'
  X XOO  ,X,'01'
  X XOO X,O,'0'
  X XOOOX,X,'0'
  X XOOX ,O,'1'
  X XOOXO,X,'1'
  X XX OO,O,'6'
  X XXO O,O,'37'
  X XXOO ,O,'8'
  XO     ,X,'048'
  XO    X,O,'014567'
  XO   OX,X,'01456'
  XO   X ,O,'4'
  XO   XO,X,'14'
  XO  O X,X,'05'
  XO  OX ,X,'0'
  XO  OXX,O,'05'
  XO  X  ,O,'4'
  XO  X O,X,'014'
  XO  XO ,X,'01458'
  XO  XOX,O,'0145'
  XO  XXO,O,'4'
  XO O  X,X,'4'
  XO O X ,X,'4'
  XO O XX,O,'46'
  XO OOXX,X,'014'
  XO OX  ,X,'4'
  XO OX X,O,'4'
  XO OXOX,X,'4'
  XO OXX ,O,'4'
  XO OXXO,X,'4'
  XO X   ,O,'8'
  XO X  O,X,'06'
  XO X O ,X,'01468'
  XO X XO,O,'0'
  XO XO  ,X,'08'
  XO XOX ,O,'0'
  XO XOXO,X,'0'
  XO XX O,O,'4'
  XO XXO ,O,'0148'
  XO XXOO,X,'014'
  XOO   X,X,'5'
  XOO  X ,X,'5'
  XOO  XX,O,'5'
  XOO OXX,X,'5'
  XOO X  ,X,'5'
  XOO X X,O,'5'
  XOO XOX,X,'5'
  XOO XX ,O,'58'
  XOO XXO,X,'015'
  XOOX   ,X,'018'
  XOOX X ,O,'8'
  XOOX XO,X,'0'
  XOOXOX ,X,'08'
  XOOXX  ,O,'8'
  XOOXX O,X,'0'
  XOOXXO ,X,'18'
  XOOXXXO,O,'0'
  XOX    ,O,'015678'
  XOX   O,X,'0167'
  XOX  O ,X,'01568'
  XOX  OX,O,'0156'
  XOX  XO,O,'0156'
  XOX O  ,X,'0'
  XOX O X,O,'0'
  XOX OOX,X,'05'
  XOX OX ,O,'0'
  XOX OXO,X,'1'
  XOXO   ,X,'01678'
  XOXO  X,O,'0167'
  XOXO OX,X,'016'
  XOXO X ,O,'0168'
  XOXO XO,X,'016'
  XOXOO X,X,'0'
  XOXOOX ,X,'01'
  XOXOOXX,O,'0'
  XOXX  O,O,'6'
  XOXX O ,O,'0168'
  XOXX OO,X,'6'
  XOXXO  ,O,'08'
  XOXXO O,X,'017'
  XOXXOO ,X,'8'
  XOXXOXO,O,'0'
  XX    O,O,'6'
  XX   O ,O,'4'
  XX   OO,X,'6'
  XX  O  ,O,'8'
  XX  O O,X,'7'
  XX  OO ,X,'8'
  XX  OOX,O,'0145'
  XX  OXO,O,'4'
  XX  XOO,O,'0145'
  XX O   ,O,'06'
  XX O  O,X,'0167'
  XX O O ,X,'06'
  XX O OX,O,'4'
  XX O XO,O,'0146'
  XX OO  ,X,'01'
  XX OO X,O,'014'
  XX OOOX,X,'0'
  XX OOX ,O,'014'
  XX OOXO,X,'1'
  XX OX O,O,'0147'
  XX OXO ,O,'0148'
  XX OXOO,X,'014'
  XX X OO,O,'46'
  XX XO O,O,'47'
  XX XOO ,O,'8'
  XXO    ,O,'017'
  XXO   O,X,'0'
  XXO  O ,X,'1'
  XXO  OX,O,'1'
  XXO  XO,O,'0'
  XXO O  ,X,'018'
  XXO O X,O,'5'
  XXO OOX,X,'15'
  XXO OX ,O,'08'
  XXO OXO,X,'0'
  XXO X O,O,'0'
  XXO XO ,O,'01'
  XXO XOO,X,'0'
  XXOO   ,X,'0'
  XXOO  X,O,'17'
  XXOO OX,X,'1'
  XXOO X ,O,'0'
  XXOO XO,X,'0'
  XXOOO X,X,'01'
  XXOOOX ,X,'01'
  XXOOOXX,O,'01'
  XXOOX  ,O,'0'
  XXOOX O,X,'0'
  XXOOXO ,X,'0'
  XXOOXOX,O,'1'
  XXOOXXO,O,'0'
  XXOX  O,O,'0167'
  XXOX O ,O,'18'
  XXOX OO,X,'016'
  XXOXO  ,O,'8'
  XXOXO O,X,'017'
  XXOXOO ,X,'8'
  XXOXOXO,O,'0'
  XXOXXOO,O,'01'
  XXX  OO,O,'6'
  XXX O O,O,'7'
  XXX OO ,O,'8'
  XXXO  O,O,'6'
  XXXO O ,O,'6'
  XXXO OO,X,'6'
  XXXOO  ,O,'78'
  XXXOO O,X,'7'
  XXXOOO ,X,'8'
  XXXOOOX,O,'0'
  XXXOOXO,O,'1'
 O      X,X,'246'
 O     X ,X,'68'
 O     XX,O,'6'
 O    OXX,X,'02'
 O    X  ,X,'048'
 O    X X,O,'023457'
 O    XOX,X,'4'
 O    XX ,O,'8'
 O    XXO,X,'02'
 O   O XX,X,'046'
 O   OX X,X,'02347'
 O   OXX ,X,'02348'
 O   X   ,X,'24'
 O   X  X,O,'2'
 O   X OX,X,'24'
 O   X X ,O,'68'
 O   X XO,X,'34'
 O   XO X,X,'0234'
 O   XOX ,X,'234'
 O   XOXX,O,'2'
 O   XX  ,O,'4'
 O   XX O,X,'34'
 O   XXO ,X,'4'
 O   XXOX,O,'24'
 O   XXXO,O,'0'
 O  O  XX,X,'256'
 O  O X X,X,'7'
 O  O XX ,X,'038'
 O  OX  X,X,'27'
 O  OX X ,X,'8'
 O  OX XX,O,'0236'
 O  OXOXX,X,'2'
 O  OXX  ,X,'7'
 O  OXX X,O,'7'
 O  OXXX ,O,'8'
 O  OXXXO,X,'0'
 O  X    ,X,'023568'
 O  X   X,O,'023567'
 O  X  OX,X,'02356'
 O  X  X ,O,'02'
 O  X  XO,X,'235'
 O  X O X,X,'0235'
 O  X OX ,X,'035'
 O  X OXX,O,'0'
 O  X X  ,O,'023578'
 O  X X O,X,'0235'
 O  X XO ,X,'02358'
 O  X XOX,O,'0235'
 O  X XXO,O,'2'
 O  XO  X,X,'0267'
 O  XO X ,X,'68'
 O  XO XX,O,'0236'
 O  XOOXX,X,'0'
 O  XOX  ,X,'02378'
 O  XOX X,O,'0237'
 O  XOXOX,X,'023'
 O  XOXX ,O,'0238'
 O  XOXXO,X,'2'
 O  XX   ,O,'023678'
 O  XX  O,X,'236'
 O  XX O ,X,'02368'
 O  XX OX,O,'0236'
 O  XX XO,O,'3'
 O  XXO  ,X,'0238'
 O  XXO X,O,'0237'
 O  XXOOX,X,'023'
 O  XXOX ,O,'3'
 O  XXOXO,X,'3'
 O  XXX O,O,'0237'
 O  XXXO ,O,'0238'
 O  XXXOO,X,'023'
 O O   XX,X,'02456'
 O O  X X,X,'02457'
 O O  XX ,X,'248'
 O O X  X,X,'02467'
 O O X X ,X,'8'
 O O X XX,O,'0246'
 O O XOXX,X,'02'
 O O XX  ,X,'28'
 O O XX X,O,'0247'
 O O XXOX,X,'24'
 O O XXX ,O,'8'
